product,﻿Collection,Company,Product,Variant,Translations,Unit Cost,Updated At,Inventory Quantity
out-of-stock items that gets re-stocked,,,,,,,,
成功补货的产品,,,,,,,,
,AVADA - Best Sellers,Pepsi,Pepsi · Crush (2L),No Variant,百事 · 橙汁汽水 (2L),N/A,2023-11-25T02:58:33Z,5
,Tea & Herbal Drinks,Master Kong,Master Kong · Pear Drink with Rock Sugar（500ml）,No Variant,康师傅 · 冰糖雪梨 (500ml),0.8 CAD,2023-12-27T19:51:20Z,0
,Green Leaf,Unknown,Taiwan Nappa (about 2LB),No Variant,台湾白菜 (大约2磅),N/A,2023-12-04T05:09:32Z,3
,Mushroom & Bamboo,Rice Brothers,Rice Brothers · Original Flavored Glutinous Rice Bamboo Shoots (248g),No Variant,饭匹兄弟 · 原味糯米笋 (248g),3.0 CAD,2023-12-19T00:01:33Z,0
,Buns & Dim Sum,Unique,Unique · Shrimp & Scallop Wonton(250g),No Variant,唯一 · 带子鲜虾云吞 (340g),3.7 CAD,2023-11-01T03:18:23Z,5
,,,,,,,,
new out-of-stock items,,,,,,,,
新出现的缺货产品,,,,,,,,
,Bean Curds & Konjac Snacks,Yi Guan Yuan,Yi Guan Yuan · Spicy Flavor Gluten Stick (328g),,怡冠园 · 湘味辣条很麻很辣 (328g),3.0 CAD,2024-01-17T16:50:16Z,0
,soy sauce,Haday,Haday · Golden Label Light Soy Sauce (1.9L),,海天 · 金标生抽 (1.9L),6.0 CAD,2024-03-08T10:28:35Z,0
,Tea & Herbal Drinks,Master Kong,Master Kong · Green Plum Green Tea（500ml）,,康师傅 · 青梅绿茶 (500ml),1.0 CAD,2023-12-27T19:40:36Z,0
,Specialty Noodles,Guang You,Guang You · Beef Flavor Mianyang Rice Noodle (150g),,光友 · 绵阳米粉牛肉味 (150g),1.8 CAD,2024-03-02T21:02:36Z,0
,Weekly Special Fruit,Unknown,Columbia Granadilla 2pcs,,哥伦比亚空运黄色百香果 2颗,N/A,2024-03-06T10:10:50Z,0
,Bean Curds & Konjac Snacks,LPPZ,LPPZ · Duck Neck Flavour (190g),,良品铺子 · 鸭脖甜辣味 (190g),7.0 CAD,2024-03-23T11:42:59Z,0
,Asian Herbs & Dried Foods,GZW,GZW · Prime Dried Shiitake Mushroom (200g),,古早味 · 精选金钱菇 (200g),N/A,2024-01-27T15:51:04Z,4
,Jelly & Dried Fruits,Qi Fen Jian,Qi Fen Jian · Sweet Dried Crispy Dates (168g),,七分饯 · 蜂蜜脆枣 (168g),3.0 CAD,2024-03-23T10:25:56Z,0
,Bean Curds & Konjac Snacks,HaoWeiWu,HaoWeiWu · Spicy Fish Tofu (22g*20),,好味屋 · 香辣味鱼豆腐 (22g*20),N/A,2024-01-02T02:18:57Z,0
,Rice Balls & Rice Cakes,BaiYuLan,BaiYuLan · Frozen Glutious Rice (200g),,白玉兰 · 八宝饭 (200g),1.3 CAD,2024-01-06T03:19:57Z,2
,Cakes & Pastries,Le Man Fen,Le Man Fen · Cheese Flavour Layered Cake (125g),,乐满芬 · 虎皮千层蛋糕芝士味 (125g),2.2 CAD,2024-03-23T11:17:59Z,0
,Bean Curds & Konjac Snacks,LPPZ,LPPZ · TengJiao Chicken Flavour (128g),,良品铺子 · 藤椒去骨凤爪 (128g),7.0 CAD,2024-03-23T11:41:22Z,0
,hotpot collection,Shoo Loong Kan,Shoo Loong Kan ·  Orginal Sesame Flavored Hot Pot Dipping Sauce (55g),,小龙坎 ·  麻酱蘸料原味 (55g),N/A,2024-01-23T18:01:27Z,4
